 LAT,     LON,   AMT, ID,     ST
38.62,-95.27,4.65,OTWK1   ,KS
37.56,-97.85,3.64,MDKK1   ,KS
37.66,-97.44,3.59,ICT     ,KS
38.06,-97.28,3.46,EWK     ,KS
37.65,-97.44,3.43,COWK1   ,KS
38.63,-95.83,3.4,OSGK1   ,KS
37.84,-97.4,3.39,VCFK1   ,KS
37.72,-97.4,3.34,WIFK1   ,KS
38.27,-95.65,3.25,SHPK1   ,KS
38.03,-97.38,3.14,NWTK1   ,KS
37.83,-97.39,3.12,VACK1   ,KS
37.44,-98.28,3.1,ZDAK1   ,KS
38.05,-97.13,2.98,ELBK1   ,KS
37.82,-96.84,2.95,EDEK1   ,KS
38.61,-95.64,2.94,LNDK1   ,KS
37.46,-97.42,2.87,PECK1   ,KS
37.86,-96.82,2.81,EDRK1   ,KS
37.82,-96.83,2.73,ELDK1   ,KS
38.62,-95.28,2.69,OTTK1   ,KS
38.68,-96.52,2.68,CNGK1   ,KS
37.78,-97.39,2.67,WICK1   ,KS
37.28,-98.04,2.66,HRPK1   ,KS
38.43,-96.56,2.65,TGPK1   ,KS
37.93,-96.3,2.64,THRK1   ,KS
37.15,-98.02,2.62,ANYK1   ,KS
37.73,-97.79,2.55,CHNK1   ,KS
38.44,-96.56,2.54,TGSK1   ,KS
37.98,-96.01,2.53,VIRK1   ,KS
37.87,-97.67,2.51,MTHK1   ,KS
37.27,-97.77,2.49,ARGK1   ,KS
37.98,-96.02,2.47,VRGK1   ,KS
39.05,-95.39,2.44,LCTK1   ,KS
38.65,-96.67,2.42,WILK1   ,KS
39.33,-95.13,2.35,EONK1   ,KS
37.38,-97.65,2.33,CNSK1   ,KS
38.08,-96.88,2.32,BNSK1   ,KS
37.52,-96.19,2.28,HWDK1   ,KS
38.83,-94.89,2.26,IXD     ,KS
38.1,-95.88,2.24,GRDK1   ,KS
37.93,-97.02,2.23,POTK1   ,KS
38.12,-96.73,2.2,WONK1   ,KS
38.65,-95.57,2.15,PLKK1   ,KS
38.95,-95.66,2.14,FOE     ,KS
39.25,-95.7,2.12,HOYK1   ,KS
37.82,-95.45,2.11,HMBK1   ,KS
39.06,-94.9,2.1,BNRK1   ,KS
38.35,-97.2,2.07,HLBK1   ,KS
38.4,-96.35,2.05,PLYK1   ,KS
39.07,-95.63,2.03,TOP     ,KS
38.85,-94.74,2.01,OJC     ,KS
38.66,-94.89,2,HILK1   ,KS
38.13,-97.43,1.99,HSSK1   ,KS
37.73,-95.43,1.98,CNUK1   ,KS
38.75,-94.98,1.97,EDGK1   ,KS
37.58,-95.24,1.93,ERIK1   ,KS
37.55,-95.26,1.9,EREK1   ,KS
37.88,-95.72,1.89,YATK1   ,KS
37.48,-97.37,1.88,PEKK1   ,KS
37.67,-96.95,1.8,AGTK1   ,KS
39.35,-95.45,1.79,VLYK1   ,KS
39.58,-95.11,1.77,ATHK1   ,KS
38.2,-97.38,1.76,GOEK1   ,KS
37.35,-94.63,1.75,PTSK1   ,KS
37.08,-97.87,1.73,BFCK1   ,KS
37.67,-95.48,1.71,CNU     ,KS
38.19,-95.07,1.7,CNVK1   ,KS
37.67,-96.98,1.64,AGAK1   ,KS
39,-95.22,1.61,LRCK1   ,KS
37.09,-95.57,1.6,CFV     ,KS
37.78,-98.02,1.59,PYPK1   ,KS
38.1,-95.64,1.56,LERK1   ,KS
38.8,-96.73,1.54,WTCK1   ,KS
37.38,-96.08,1.52,LGTK1   ,KS
37.07,-95.63,1.5,CFVK1   ,KS
37.71,-96.23,1.47,CMXK1   ,KS
37.41,-95.67,1.46,NEDK1   ,KS
38.35,-97.03,1.45,MARK1   ,KS
38.33,-96.19,1.44,EMP     ,KS
37.95,-97.77,1.43,HAVK1   ,KS
37.11,-96.49,1.4,CDVK1   ,KS
37.37,-98.92,1.38,SUNK1   ,KS
37.52,-98.68,1.37,ZTBK1   ,KS
37.23,-96.98,1.34,WNFK1   ,KS
37.23,-97.4,1.3,WELK1   ,KS
38.15,-98.11,1.29,NICK1   ,KS
38.11,-97.59,1.28,ALMK1   ,KS
37.33,-95.51,1.26,PPF     ,KS
37.27,-95.47,1.24,BIGK1   ,KS
37.52,-95.67,1.22,ATOK1   ,KS
37.07,-97.03,1.21,AKCK1   ,KS
37.12,-97.6,1.2,CBNK1   ,KS
37.6,-95.08,1.19,WLNK1   ,KS
39.65,-95.98,1.17,GOFK1   ,KS
39.47,-95.77,1.11,HLTK1   ,KS
38.38,-97.9,1.1,WNDK1   ,KS
39.86,-95.52,1.08,HIAK1   ,KS
38.1,-97.88,1.07,HUTK1   ,KS
39.17,-97.33,1.06,LGFK1   ,KS
38.67,-96.95,1.05,HERK1   ,KS
37.9,-98.19,1.02,ARLK1   ,KS
37.3,-96.65,1.01,CBDK1   ,KS
37.17,-97.04,1,WLD     ,KS
38.86,-97.48,0.98,NCMK1   ,KS
39,-96.83,0.97,FRI     ,KS
39.39,-97.13,0.96,CCRK1   ,KS
39.87,-96.25,0.95,AXTK1   ,KS
37.22,-96.99,0.94,WFDK1   ,KS
38.84,-97.67,0.93,SLNK1   ,KS
39.5,-96.4,0.92,BLNK1   ,KS
39.6,-96.33,0.9,LLLK1   ,KS
39.77,-96.35,0.89,FRAK1   ,KS
39.08,-96.88,0.88,MLFK1   ,KS
38.8,-97.57,0.87,MTRK1   ,KS
39.52,-96.55,0.86,FSTK1   ,KS
39.55,-97,0.85,FCTK1   ,KS
38.91,-97.12,0.84,ETPK1   ,KS
37.74,-100.03,0.81,DCAK1   ,KS
38.97,-97.02,0.8,CPMK1   ,KS
38.61,-97.95,0.78,LGLK1   ,KS
39.1,-96.6,0.77,MNHK1   ,KS
39.25,-96.6,0.76,MTTK1   ,KS
39.9,-96.43,0.74,BEAK1   ,KS
39.2,-96.58,0.72,MHTK1   ,KS
39,-97.87,0.71,TSCK1   ,KS
39.12,-97.7,0.7,MNPK1   ,KS
37.54,-99.64,0.69,BUCK1   ,KS
39.9,-96.77,0.67,BRMK1   ,KS
38.52,-98.53,0.65,CLFK1   ,KS
